architecture    batch       fc              lr, momentum, decay, epochs    loss    drop     cls_base    v-a-d loss
VGG16           32          128-128-64      1e-4 , 0.9 , 0.01, 10          L1      0.2      -1          1427-0960-1024
VGG16           32          None            1e-4 , 0.9 , 0.01, 10          L1      0.2      -1          1442-,-,
VGG16           32          512-512-128     1e-4 , 0.9 , 0.01, 10          L1      0.2      -1          1407-0970-1007
VGG16           32          1024-1024-512   1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1356-,-,
VGG16           32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1354-,-,
VGG16           32          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1360-,-,
VGG16           32          512-128         1e-3 , 0.9 , 0.01, 20          L1      0.2      -1          1356-,-,
VGG16-bn        32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1409-,-,
VGG11           32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1383-,-,
VGG19           32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1386-,-,
VGG13           32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1361-,-,
VGG16           32          256-64          1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1346-0941-0957
VGG16           32          256-64          1e-3 , 0.9 , 0.01, 10          L2      0.2      -1          0282-,-,
VGG16           32          256-64          1e-3 , 0.9 , 0.01, 10          L1      0.5      -1          1362-,-,
VGG16           32          256-64          1e-3 , 0.9 , 0.01, 10          L1      0.0      -1          1352-,-,
VGG16           32          128-32          1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1359-,-,
VGG16           32          1024-128        1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1355-,-,
VGG16           32          256-256         1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1359-,-,
VGG11           32          128-128-64      1e-3 , 0.9 , 0.01, 50          L1      0.2      -1          1347-,-,
VGG11           32          None            1e-3 , 0.9 , 0.01, 10          L1      0.2      3           1398-,-,
VGG16           32          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.2      0           1363-,-,
VGG16           32          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.5      0           1364-,-,
VGG11           32          128-128-128-64  1e-3 , 0.9 , 0.01, 10          L1      0.5      0           1369-,-,
VGG11           32          128-64          1e-3 , 0.9 , 0.01, 10          L1      0.5      0           1361-,-,
VGG11           64          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1365-,-,
VGG16           64          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.5      -1          1372-,-,
VGG11           64          256-64          1e-3 , 0.9 , 0.01, 10          L1      0.2      -1          1357-,-,
VGG11           64          256-64          1e-3 , 0.9 , 0.01, 50          L1      0.5      -1          1341-,-,
VGG11_bn        64          256-64          1e-3 , 0.9 , 0.01, 50          L1      0.2      -1          1367-,-,
VGG11           64          256-64          1e-4 , 0.9 , 0.01, 50          L1      0.5      -1          1468-,-,
VGG11           64          256-64          1e-2 , 0.9 , 0.01, 10          L1      0.5      -1          1374-,-,
VGGish          64          128-128-64      1e-3 , 0.9 , 0.01, 10          L1      0.5      NA          1453-,-,
VGGish          64          None            1e-3 , 0.9 , 0.01, 10          L1      0.5      NA          1453-,-,
VGGish          64          128-128-64      1e-3 , 0.0 , 0.0 , 10          L1      0.5      NA          1453-,-,
